,Date,Ticker,Adj Close,Close,High,Low,Open,Volume
0,2023-04-06,AAPL,163.7857666015625,164.66000366210938,164.9600067138672,162.0,162.42999267578125,45390100.0
1,2023-04-06,GOOG,108.9000015258789,108.9000015258789,109.62999725341797,104.81500244140625,105.7699966430664,34684200.0
2,2023-04-06,MSFT,289.2262268066406,291.6000061035156,292.0799865722656,282.0299987792969,283.2099914550781,29770300.0
3,2023-04-06,NFLX,339.3299865722656,339.3299865722656,340.4800109863281,332.6300048828125,339.3399963378906,4660500.0
4,2023-04-06,TSLA,185.05999755859375,185.05999755859375,186.38999938964844,179.74000549316406,183.0800018310547,123857900.0
5,2023-04-10,AAPL,161.1697235107422,162.02999877929688,162.02999877929688,160.0800018310547,161.4199981689453,47716900.0
6,2023-04-10,GOOG,106.94999694824219,106.94999694824219,107.97000122070312,105.5999984741211,107.38999938964844,19741500.0
7,2023-04-10,MSFT,287.03424072265625,289.3900146484375,289.6000061035156,284.7099914550781,289.2099914550781,23103000.0
8,2023-04-10,NFLX,338.989990234375,338.989990234375,339.8800048828125,333.3599853515625,335.2699890136719,2657900.0
9,2023-04-10,TSLA,184.50999450683594,184.50999450683594,185.10000610351562,176.11000061035156,179.94000244140625,142154600.0
10,2023-04-11,AAPL,159.94625854492188,160.8000030517578,162.36000061035156,160.50999450683594,162.35000610351562,47644200.0
11,2023-04-11,GOOG,106.12000274658203,106.12000274658203,107.22000122070312,105.27999877929688,106.91999816894531,18721300.0
12,2023-04-11,MSFT,280.5276184082031,282.8299865722656,285.9800109863281,281.6400146484375,285.75,27276600.0
13,2023-04-11,NFLX,338.2099914550781,338.2099914550781,347.1400146484375,337.6400146484375,343.45001220703125,4044800.0
14,2023-04-11,TSLA,186.7899932861328,186.7899932861328,189.19000244140625,185.64999389648438,186.69000244140625,115770900.0
15,2023-04-12,AAPL,159.24998474121094,160.10000610351562,162.05999755859375,159.77999877929688,161.22000122070312,50133100.0
16,2023-04-12,GOOG,105.22000122070312,105.22000122070312,107.58699798583984,104.97000122070312,107.38999938964844,22761600.0
17,2023-04-12,MSFT,281.1822509765625,283.489990234375,287.010009765625,281.9599914550781,284.7900085449219,27403400.0
18,2023-04-12,NFLX,331.0299987792969,331.0299987792969,342.79998779296875,330.0400085449219,340.80999755859375,3965400.0
19,2023-04-12,TSLA,180.5399932861328,180.5399932861328,191.5800018310547,180.30999755859375,190.74000549316406,150256300.0
20,2023-04-13,AAPL,164.68096923828125,165.55999755859375,165.8000030517578,161.4199981689453,161.6300048828125,68445600.0
21,2023-04-13,GOOG,108.19000244140625,108.19000244140625,108.26499938964844,106.44000244140625,106.47000122070312,21650700.0
22,2023-04-13,MSFT,287.4805603027344,289.8399963378906,289.8999938964844,283.1700134277344,283.5899963378906,24222700.0
23,2023-04-13,NFLX,346.19000244140625,346.19000244140625,346.42999267578125,338.75,339.989990234375,7406400.0
24,2023-04-13,TSLA,185.89999389648438,185.89999389648438,186.5,180.94000244140625,182.9600067138672,112933000.0
25,2023-04-14,AAPL,164.3328399658203,165.2100067138672,166.32000732421875,163.82000732421875,164.58999633789062,49386500.0
26,2023-04-14,GOOG,109.45999908447266,109.45999908447266,109.58000183105469,107.58999633789062,107.69000244140625,20758700.0
27,2023-04-14,MSFT,283.8106994628906,286.1400146484375,288.4800109863281,283.69000244140625,287.0,20987900.0
28,2023-04-14,NFLX,338.6300048828125,338.6300048828125,344.8500061035156,336.4100036621094,342.94000244140625,5350500.0
